analyte,k,link,poly
Anion Gap,1,beta,3
Anion Gap,1,3-quant-splines,3
Anion Gap,2,beta,3
Anion Gap,2,3-quant-splines,3
Anion Gap,3,beta,3
Anion Gap,3,3-quant-splines,3
Bicarbonate,1,linear,3
Bicarbonate,2,linear,3
Bicarbonate,3,linear,3
Bicarbonate,4,linear,3
"Calcium, Total",1,linear,2
"Calcium, Total",2,linear,2
"Calcium, Total",3,linear,2
Chloride,1,3-quant-splines,3
Chloride,1,beta,3
Chloride,2,3-quant-splines,3
Chloride,2,beta,3
Chloride,3,3-quant-splines,3
Chloride,3,beta,3
Chloride,4,3-quant-splines,3
Chloride,4,beta,3
Creatinine,1,beta,1
Creatinine,2,beta,1
Creatinine,3,beta,1
Glucose,1,beta,1
Glucose,2,beta,1
Glucose,3,beta,1
Hematocrit,1,linear,3
Hematocrit,2,linear,3
Hematocrit,3,linear,3
Hematocrit,4,linear,3
Hemoglobin,1,linear,3
Hemoglobin,2,linear,3
Hemoglobin,3,linear,3
Hemoglobin,4,linear,3
Magnesium,1,3-quant-splines,3
Magnesium,2,3-quant-splines,3
Magnesium,3,3-quant-splines,3
Magnesium,4,3-quant-splines,3
Magnesium,1,beta,3
Magnesium,2,beta,3
Magnesium,3,beta,3
Magnesium,4,beta,3
MCH,1,linear,2
MCH,2,linear,2
MCH,3,linear,2
MCH,4,linear,2
MCH,5,linear,2
MCHC,1,linear,2
MCHC,1,linear,3
MCHC,2,linear,2
MCHC,2,linear,3
MCHC,3,linear,2
MCHC,3,linear,3
MCHC,4,linear,2
MCHC,4,linear,3
MCV,1,beta,2
MCV,2,beta,2
MCV,3,beta,2
MCV,4,beta,2
Phosphate,1,3-quant-splines,2
Phosphate,1,beta,2
Phosphate,1,3-quant-splines,3
Phosphate,1,beta,3
Phosphate,2,beta,2
Phosphate,2,beta,3
Phosphate,2,3-quant-splines,2
Phosphate,2,3-quant-splines,3
Phosphate,3,beta,2
Phosphate,3,beta,3
Phosphate,3,3-quant-splines,2
Phosphate,3,3-quant-splines,3
Platelet Count,1,beta,3
Platelet Count,1,3-quant-splines,3
Platelet Count,2,beta,3
Platelet Count,2,3-quant-splines,3
Platelet Count,3,beta,3
Platelet Count,3,3-quant-splines,3
Platelet Count,4,3-quant-splines,3
Platelet Count,4,beta,3
Potassium,1,beta,3
Potassium,1,3-quant-splines,3
Potassium,2,beta,3
Potassium,2,3-quant-splines,3
Potassium,3,beta,3
Potassium,3,3-quant-splines,3
RDW,1,beta,1
RDW,1,3-quant-splines,1
RDW,1,beta,2
RDW,1,3-quant-splines,2
RDW,2,beta,1
RDW,2,beta,2
RDW,2,3-quant-splines,1
RDW,2,3-quant-splines,2
RDW,3,beta,1
RDW,3,beta,2
RDW,3,3-quant-splines,1
RDW,3,3-quant-splines,2
RDW,4,beta,1
RDW,4,beta,2
RDW,4,3-quant-splines,1
RDW,4,3-quant-splines,2
Red Blood Cells,1,linear,3
Red Blood Cells,2,linear,3
Red Blood Cells,3,linear,3
Red Blood Cells,4,linear,3
Sodium,1,beta,2
Sodium,1,3-quant-splines,2
Sodium,2,beta,2
Sodium,2,3-quant-splines,2
Sodium,3,beta,2
Sodium,3,3-quant-splines,2
Sodium,4,beta,2
Sodium,4,3-quant-splines,2
Urea Nitrogen,1,beta,2
Urea Nitrogen,2,beta,2
Urea Nitrogen,3,beta,2
Urea Nitrogen,4,beta,2
White Blood Cells,1,beta,3
White Blood Cells,2,beta,3
White Blood Cells,3,beta,3
White Blood Cells,4,beta,3
