icd10_code,icd10_definition,icd10_codes_L1,is_sci
S12000A,"unspecified displaced fracture of first cervical vertebra, initial encounter for closed fracture",S120,0
S12000B,"unspecified displaced fracture of first cervical vertebra, initial encounter for open fracture",S120,0
S12000D,"unspecified displaced fracture of first cervical vertebra, subsequent encounter for fracture with routine healing",S120,0
S12000G,"unspecified displaced fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing",S120,0
S12000K,"unspecified displaced fracture of first cervical vertebra, subsequent encounter for fracture with nonunion",S120,0
S12000S,"unspecified displaced fracture of first cervical vertebra, sequela",S120,0
S12001A,"unspecified nondisplaced fracture of first cervical vertebra, initial encounter for closed fracture",S120,0
S12001B,"unspecified nondisplaced fracture of first cervical vertebra, initial encounter for open fracture",S120,0
S12001D,"unspecified nondisplaced fracture of first cervical vertebra, subsequent encounter for fracture with routine healing",S120,0
S12001G,"unspecified nondisplaced fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing",S120,0
S12001K,"unspecified nondisplaced fracture of first cervical vertebra, subsequent encounter for fracture with nonunion",S120,0
S12001S,"unspecified nondisplaced fracture of first cervical vertebra, sequela",S120,0
S1201XA,"stable burst fracture of first cervical vertebra, initial encounter for closed fracture",S120,0
S1201XB,"stable burst fracture of first cervical vertebra, initial encounter for open fracture",S120,0
S1201XD,"stable burst fracture of first cervical vertebra, subsequent encounter for fracture with routine healing",S120,0
S1201XG,"stable burst fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing",S120,0
S1201XK,"stable burst fracture of first cervical vertebra, subsequent encounter for fracture with nonunion",S120,0
S1201XS,"stable burst fracture of first cervical vertebra, sequela",S120,0
S1202XA,"unstable burst fracture of first cervical vertebra, initial encounter for closed fracture",S120,0
S1202XB,"unstable burst fracture of first cervical vertebra, initial encounter for open fracture",S120,0
S1202XD,"unstable burst fracture of first cervical vertebra, subsequent encounter for fracture with routine healing",S120,0
S1202XG,"unstable burst fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing",S120,0
S1202XK,"unstable burst fracture of first cervical vertebra, subsequent encounter for fracture with nonunion",S120,0
S1202XS,"unstable burst fracture of first cervical vertebra, sequela",S120,0
S12030A,"displaced posterior arch fracture of first cervical vertebra, initial encounter for closed fracture",S120,0
S12030B,"displaced posterior arch fracture of first cervical vertebra, initial encounter for open fracture",S120,0
S12030D,"displaced posterior arch fracture of first cervical vertebra, subsequent encounter for fracture with routine healing",S120,0
S12030G,"displaced posterior arch fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing",S120,0
S12030K,"displaced posterior arch fracture of first cervical vertebra, subsequent encounter for fracture with nonunion",S120,0
S12030S,"displaced posterior arch fracture of first cervical vertebra, sequela",S120,0
S12031A,"nondisplaced posterior arch fracture of first cervical vertebra, initial encounter for closed fracture",S120,0
S12031B,"nondisplaced posterior arch fracture of first cervical vertebra, initial encounter for open fracture",S120,0
S12031D,"nondisplaced posterior arch fracture of first cervical vertebra, subsequent encounter for fracture with routine healing",S120,0
S12031G,"nondisplaced posterior arch fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing",S120,0
S12031K,"nondisplaced posterior arch fracture of first cervical vertebra, subsequent encounter for fracture with nonunion",S120,0
S12031S,"nondisplaced posterior arch fracture of first cervical vertebra, sequela",S120,0
S12040A,"displaced lateral mass fracture of first cervical vertebra, initial encounter for closed fracture",S120,0
S12040B,"displaced lateral mass fracture of first cervical vertebra, initial encounter for open fracture",S120,0
S12040D,"displaced lateral mass fracture of first cervical vertebra, subsequent encounter for fracture with routine healing",S120,0
S12040G,"displaced lateral mass fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing",S120,0
S12040K,"displaced lateral mass fracture of first cervical vertebra, subsequent encounter for fracture with nonunion",S120,0
S12040S,"displaced lateral mass fracture of first cervical vertebra, sequela",S120,0
S12041A,"nondisplaced lateral mass fracture of first cervical vertebra, initial encounter for closed fracture",S120,0
S12041B,"nondisplaced lateral mass fracture of first cervical vertebra, initial encounter for open fracture",S120,0
S12041D,"nondisplaced lateral mass fracture of first cervical vertebra, subsequent encounter for fracture with routine healing",S120,0
S12041G,"nondisplaced lateral mass fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing",S120,0
S12041K,"nondisplaced lateral mass fracture of first cervical vertebra, subsequent encounter for fracture with nonunion",S120,0
S12041S,"nondisplaced lateral mass fracture of first cervical vertebra, sequela",S120,0
S12090A,"other displaced fracture of first cervical vertebra, initial encounter for closed fracture",S120,0
S12090B,"other displaced fracture of first cervical vertebra, initial encounter for open fracture",S120,0
S12090D,"other displaced fracture of first cervical vertebra, subsequent encounter for fracture with routine healing",S120,0
S12090G,"other displaced fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing",S120,0
S12090K,"other displaced fracture of first cervical vertebra, subsequent encounter for fracture with nonunion",S120,0
S12090S,"other displaced fracture of first cervical vertebra, sequela",S120,0
S12091A,"other nondisplaced fracture of first cervical vertebra, initial encounter for closed fracture",S120,0
S12091B,"other nondisplaced fracture of first cervical vertebra, initial encounter for open fracture",S120,0
S12091D,"other nondisplaced fracture of first cervical vertebra, subsequent encounter for fracture with routine healing",S120,0
S12091G,"other nondisplaced fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing",S120,0
S12091K,"other nondisplaced fracture of first cervical vertebra, subsequent encounter for fracture with nonunion",S120,0
S12091S,"other nondisplaced fracture of first cervical vertebra, sequela",S120,0
S12100A,"unspecified displaced fracture of second cervical vertebra, initial encounter for closed fracture",S121,0
S12100B,"unspecified displaced fracture of second cervical vertebra, initial encounter for open fracture",S121,0
S12100D,"unspecified displaced fracture of second cervical vertebra, subsequent encounter for fracture with routine healing",S121,0
S12100G,"unspecified displaced fracture of second cervical vertebra, subsequent encounter for fracture with delayed healing",S121,0
S12100K,"unspecified displaced fracture of second cervical vertebra, subsequent encounter for fracture with nonunion",S121,0
S12100S,"unspecified displaced fracture of second cervical vertebra, sequela",S121,0
S12101A,"unspecified nondisplaced fracture of second cervical vertebra, initial encounter for closed fracture",S121,0
S12101B,"unspecified nondisplaced fracture of second cervical vertebra, initial encounter for open fracture",S121,0
S12101D,"unspecified nondisplaced fracture of second cervical vertebra, subsequent encounter for fracture with routine healing",S121,0
S12101G,"unspecified nondisplaced fracture of second cervical vertebra, subsequent encounter for fracture with delayed healing",S121,0
S12101K,"unspecified nondisplaced fracture of second cervical vertebra, subsequent encounter for fracture with nonunion",S121,0
S12101S,"unspecified nondisplaced fracture of second cervical vertebra, sequela",S121,0
S12110A,"anterior displaced type ii dens fracture, initial encounter for closed fracture",S121,0
S12110B,"anterior displaced type ii dens fracture, initial encounter for open fracture",S121,0
S12110D,"anterior displaced type ii dens fracture, subsequent encounter for fracture with routine healing",S121,0
S12110G,"anterior displaced type ii dens fracture, subsequent encounter for fracture with delayed healing",S121,0
S12110K,"anterior displaced type ii dens fracture, subsequent encounter for fracture with nonunion",S121,0
S12110S,"anterior displaced type ii dens fracture, sequela",S121,0
S12111A,"posterior displaced type ii dens fracture, initial encounter for closed fracture",S121,0
S12111B,"posterior displaced type ii dens fracture, initial encounter for open fracture",S121,0
S12111D,"posterior displaced type ii dens fracture, subsequent encounter for fracture with routine healing",S121,0
S12111G,"posterior displaced type ii dens fracture, subsequent encounter for fracture with delayed healing",S121,0
S12111K,"posterior displaced type ii dens fracture, subsequent encounter for fracture with nonunion",S121,0
S12111S,"posterior displaced type ii dens fracture, sequela",S121,0
S12112A,"nondisplaced type ii dens fracture, initial encounter for closed fracture",S121,0
S12112B,"nondisplaced type ii dens fracture, initial encounter for open fracture",S121,0
S12112D,"nondisplaced type ii dens fracture, subsequent encounter for fracture with routine healing",S121,0
S12112G,"nondisplaced type ii dens fracture, subsequent encounter for fracture with delayed healing",S121,0
S12112K,"nondisplaced type ii dens fracture, subsequent encounter for fracture with nonunion",S121,0
S12112S,"nondisplaced type ii dens fracture, sequela",S121,0
S12120A,"other displaced dens fracture, initial encounter for closed fracture",S121,0
S12120B,"other displaced dens fracture, initial encounter for open fracture",S121,0
S12120D,"other displaced dens fracture, subsequent encounter for fracture with routine healing",S121,0
S12120G,"other displaced dens fracture, subsequent encounter for fracture with delayed healing",S121,0
S12120K,"other displaced dens fracture, subsequent encounter for fracture with nonunion",S121,0
S12120S,"other displaced dens fracture, sequela",S121,0
S12121A,"other nondisplaced dens fracture, initial encounter for closed fracture",S121,0
S12121B,"other nondisplaced dens fracture, initial encounter for open fracture",S121,0
S12121D,"other nondisplaced dens fracture, subsequent encounter for fracture with routine healing",S121,0
S12121G,"other nondisplaced dens fracture, subsequent encounter for fracture with delayed healing",S121,0
S12121K,"other nondisplaced dens fracture, subsequent encounter for fracture with nonunion",S121,0
S12121S,"other nondisplaced dens fracture, sequela",S121,0
